Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot129,"Tyree Rosenblum",hard,17,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","21:00:32","21:01:36",
Bot129,"Tyree Rosenblum",hard,17,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","21:01:41","21:02:47",
Bot129,"Tyree Rosenblum",hard,17,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","21:02:52","21:03:26",
Bot129,"Tyree Rosenblum",hard,17,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","21:03:31","21:03:43",
Bot129,"Tyree Rosenblum",hard,17,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","21:03:48","21:04:08",
Bot129,"Tyree Rosenblum",hard,17,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","21:04:13","21:04:39",
Bot129,"Tyree Rosenblum",hard,17,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","21:04:45","21:05:00",
Bot129,"Tyree Rosenblum",hard,17,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #7","1","21:05:05","21:05:20",
Bot129,"Tyree Rosenblum",hard,17,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #10","1","21:05:25","21:05:49",
Bot129,"Tyree Rosenblum",hard,17,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #8","1","21:05:54","21:06:37",
Bot129,"Tyree Rosenblum",hard,17,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #7","2","21:06:42","21:07:31",
Bot129,"Tyree Rosenblum",hard,17,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #8","1","21:07:36","21:08:16",
Bot129,"Tyree Rosenblum",hard,17,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #13","1","21:08:21","21:08:49",
Bot129,"Tyree Rosenblum",hard,17,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #10","2","21:08:54","21:10:44",
Bot129,"Tyree Rosenblum",hard,17,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #5","1","21:10:49","21:10:57",
Bot131,"Давид Колонтаев",hard,12,Completed,"Crackhouse","Crackhouse: Objective #7","1","21:00:23","21:01:53",
Bot131,"Давид Колонтаев",hard,12,Completed,"Crackhouse","Crackhouse: Objective #2","1","21:01:58","21:02:13",
Bot131,"Давид Колонтаев",hard,12,Completed,"Crackhouse","Crackhouse: Objective #4","1","21:02:19","21:04:20",
Bot131,"Давид Колонтаев",hard,12,Failed,"Crackhouse","Crackhouse: Objective #3","1","21:04:25","21:07:46",
Bot157,"Юрий Касатый",hard,6,Failed,"Repair Shop","Repair Shop: Objective #2","1","21:06:22","21:08:33",
Bot157,"Юрий Касатый",hard,6,Completed,"Repair Shop","Repair Shop: Objective #9","1","21:08:38","21:08:56",
Bot157,"Юрий Касатый",hard,6,Completed,"Repair Shop","Repair Shop: Objective #7","1","21:09:01","21:09:24",
Bot157,"Юрий Касатый",hard,6,Completed,"Repair Shop","Repair Shop: Objective #8","1","21:09:29","21:10:34",
Bot157,"Юрий Касатый",hard,6,Pending,"Repair Shop","Repair Shop: Objective #6","1","21:10:39","N/A",
Bot158,"Фёдор Гуськов",hard,19,Pending,"Repair Shop","Repair Shop: Objective #2","1","21:06:23","N/A",
